rank,country,hdi2014,life_expectancy,mean_schooling,expected_schooling,gni_per_capita
142,Bangladesh,0.5578948733,70.657,5.073080011,10,2713.087559
142,Sao Tome and Principe,0.557917682,66.337,4.658307,11.3,3110.651729
144,Equatorial Guinea,0.5559673459,53.062,5.36,8.5,21972.27391
145,Nepal,0.5396415972,68.41,3.236,12.4,2193.984199
146,Pakistan,0.5365347665,66.57,4.733353615,7.7,4651.637626
147,Kenya,0.5351155803,61.716,6.27,11,2157.935217
148,Swaziland,0.53030271,49,7.122,11.3,5536.436105
149,Angola,0.5262932382,51.899,4.726362,11.4,6322.938484
150,Myanmar,0.5235283892,65.176,3.95,8.6,3998.06
151,Rwanda,0.5057231193,64.066,3.345,13.2,1403.261766
152,Cameroon,0.5043766768,55.065,5.907,10.4,2556.702988
152,Nigeria,0.5036360457,52.506,5.2458,9,5353.377057
154,Yemen,0.4998707122,63.112,2.51,9.2,3945.179736
155,Madagascar,0.497883474,64.723,5.169435,10.3,1333.452497
156,Zimbabwe,0.4919764426,59.871,7.248,9.3,1307.407815
157,Papua New Guinea,0.4914683722,62.421,3.906,8.86,2452.981328
157,Solomon Islands,0.4905783212,67.675,4.498297,9.2,1384.56764
159,Comoros,0.4877025497,60.874,2.845926,12.8,1504.873586
159,Tanzania (United Republic of),0.4884095897,61.53,5.11,9.2,1702.121924
161,Mauritania,0.4870819578,61.55,3.735,8.2,2988.146241
162,Lesotho,0.486202125,49.446,5.874752222,11.1,2797.8904
163,Senegal,0.4852780586,63.451,4.451,7.9,2169.261459
164,Uganda,0.4835096594,59.209,5.36,10.8,1335.149468
165,Benin,0.475724489,59.33,3.24,11,1725.832379
166,Sudan,0.4728027045,62.055,3.137,7.25,3428.122773
166,Togo,0.4730615683,56.537,5.266,12.2,1128.740046
168,Haiti,0.4714268019,63.102,4.895,7.6,1635.690857
169,Afghanistan,0.4678864211,60.947,3.21,9.3,1903.656673
170,Djibouti,0.4674193088,61.801,3.843,6.4,3108.91
171,Côte d'Ivoire,0.4519939729,50.722,4.26,8.9,2774.273906
172,Gambia,0.4407149611,58.818,2.785,9.1,1557.311006
173,Ethiopia,0.4351394494,63.635,2.412325859,8.5,1302.644336
174,Malawi,0.4140210035,55.311,4.19,10.8,714.9372353
175,Liberia,0.4118010241,60.556,3.934,8.5,752.0008678
176,Mali,0.4067044627,55.032,1.988761628,8.6,1499.38227
177,Guinea-Bissau,0.3956489664,54.291,2.26,9,1090.146613
178,Mozambique,0.3925961464,50.25,3.245,9.5,1011.037349
179,Guinea,0.391868519,56.112,1.583342,8.7,1141.856896
180,Burundi,0.3894434951,54.104,2.686,10.1,749.1103073
181,Burkina Faso,0.3883551429,56.344,1.251,7.5,1601.505151
182,Eritrea,0.3809510417,62.852,3.41,4.1,1146.887028
183,Sierra Leone,0.3742818402,45.561,2.88,7.506,1815.102108
184,Chad,0.3724243451,51.182,1.508891,7.4,1621.77459
185,Central African Republic,0.3405306725,50.179,3.536,7.2,587.8555084
186,Congo (Democratic Republic of the),0.3379200729,49.963,3.07,9.7,443.9577823
187,Niger,0.3369975975,58.409,1.438,5.4,872.5326862
